text,label
"REMÉDIO ANTIALÉRGICO R$ 78,80",Saúde
"Sorvete Outback urgente R$ 279,70",Lazer
Ifood Pizzaria,Lazer
Serviço Office 365,Outros
YouTube Premium urgente,Assinaturas
"Conta de água Nubank 😅 R$ 336,35",Moradia
Netflix urgente,Assinaturas
"Presente para mãe ✅ R$ 331,21",Outros
COMPRA DE SUPERMERCADO ASSAÍ (PIX),Mercado
"Compra na Bom Preço 😅 R$ 60,60",Outros
"Compra de supermercado Assaí hoje R$ 151,75",Mercado
RECEBI SALÁRIO,Renda
Uber para casa,Transporte
Bar Burger King urgente,Lazer
Condomínio do apartamento,Moradia
Passagem de ônibus,Transporte
Farmácia Panvel (pix),Saúde
Assinatura iCloud,Assinaturas
Hortifruti da esquina,Mercado
Restaurante Restaurante japonês hoje,Lazer
Airbnb centro hoje,Viagem
Conta de luz Itaú urgente,Moradia
Aluguel de carro urgente,Viagem
Serviço Office 365 😅,Outros
Recebimento freelance {tipo} urgente,Renda
Pedágio aeroporto urgente,Transporte
Plano de saúde Tim ✅,Saúde
Sorvete Burger King urgente,Lazer
Exame de sangue urgente,Saúde
"Paguei aluguel ✅ R$ 353,73",Moradia
PLANO DE SAÚDE CLARO,Saúde
Bônus do trabalho 😅,Renda
Bar Outback 😅,Lazer
"Passagem aérea Azul urgente R$ 152,40",Viagem
Estacionamento trabalho 😅,Transporte
SHOW/INGRESSO,Lazer
"Udemy Machine Learning R$ 590,89",Educação
Consulta médica,Saúde
"Curso Inglês R$ 224,67",Educação
"Plano de saúde Claro R$ 476,51",Saúde
Pagamento diverso hoje,Outros
Exame de sangue urgente,Saúde
CURSO INGLÊS,Educação
Plano de saúde Enel (pix),Saúde
Estacionamento centro hoje,Transporte
Spotify,Assinaturas
Dentista (pix),Saúde
"Recebimento freelance {tipo} R$ 59,95",Renda
Udemy Power BI,Educação
Pagamento diverso 😅,Outros
PADARIA CENTRAL,Mercado
Mensalidade faculdade (pix),Educação
"Conta de luz Unimed 😅 R$ 439,22",Moradia
"PAGAMENTO TIM (PIX) R$ 527,49",Renda
Bônus do trabalho,Renda
Recebi salário (pix),Renda
Cinema com amigos,Lazer
"Remédio dipirona R$ 309,54",Saúde
Alura (pix),Educação
Plano de saúde Itaú,Saúde
Serviço iCloud,Outros
REMÉDIO IBUPROFENO URGENTE,Saúde
Padaria da esquina ✅,Mercado
HOTEL EM AEROPORTO URGENTE,Viagem
Bônus do trabalho hoje,Renda
Cinema com amigos (pix),Lazer
"Plano de saúde Enel 😅 R$ 172,87",Saúde
Bônus do trabalho (pix),Renda
Internet Vivo,Moradia
Açougue Bom Preço 😅,Mercado
Gás de cozinha,Moradia
Serviço iCloud,Outros
Compra na Central ✅,Outros
SORVETE RESTAURANTE JAPONÊS HOJE,Lazer
Farmácia Pague Menos 😅,Saúde
Restaurante Pizzaria hoje,Lazer
"Dentista R$ 519,12",Saúde
Doação urgente,Outros
Dentista (pix),Saúde
Bônus do trabalho (pix),Renda
Udemy Python ✅,Educação
Hortifruti Popular (pix),Mercado
Passeio turístico academia,Viagem
DEPÓSITO DE SALÁRIO UNIMED 😅,Renda
Plano de saúde Unimed ✅,Saúde
"Curso Inglês ✅ R$ 358,01",Educação
